machine_id,timestamp,temperature_c,vibration_mm_s,pressure_psi
M001,2026-06-13 18:00:00,61.93,3.11,77.97
M001,2026-06-14 00:00:00,60.08,3.05,82.07
M001,2026-06-14 06:00:00,68.12,2.32,82.33
M001,2026-06-14 12:00:00,62.63,2.73,82.9
M001,2026-06-14 18:00:00,61.94,2.13,77.63
M001,2026-06-15 00:00:00,64.74,3.07,79.04
M001,2026-06-15 06:00:00,63.02,3.55,80.07
M001,2026-06-15 12:00:00,61.99,2.77,81.98
M001,2026-06-15 18:00:00,61.32,2.9,74.33
M001,2026-06-16 00:00:00,62.7,2.74,79.5
M001,2026-06-16 06:00:00,61.08,2.54,77.71
M001,2026-06-16 12:00:00,57.39,2.64,83.44
M001,2026-06-16 18:00:00,61.36,2.91,76.91
M001,2026-06-17 00:00:00,59.43,2.5,77.07
M001,2026-06-17 06:00:00,59.68,2.86,85.48
M001,2026-06-17 12:00:00,60.71,2.22,82.12
M001,2026-06-17 18:00:00,59.17,2.37,81.63
M001,2026-06-18 00:00:00,61.73,2.52,80.34
M001,2026-06-18 06:00:00,61.24,3.29,78.11
M001,2026-06-18 12:00:00,60.23,2.59,78.9
M001,2026-06-18 18:00:00,63.25,2.13,81.42
M001,2026-06-19 00:00:00,60.99,2.96,79.99
M001,2026-06-19 06:00:00,63.11,2.61,81.44
M001,2026-06-19 12:00:00,65.4,2.51,79.81
M001,2026-06-19 18:00:00,61.1,3.21,78.83
M001,2026-06-20 00:00:00,60.62,2.56,79.72
M001,2026-06-20 06:00:00,60.5,2.62,80.59
M001,2026-06-20 12:00:00,61.86,2.98,79.16
M001,2026-06-20 18:00:00,61.68,2.81,86.86
M001,2026-06-21 00:00:00,60.53,3.31,76.56
M001,2026-06-21 06:00:00,62.56,2.63,77.67
M001,2026-06-21 12:00:00,63.5,2.92,78.67
M001,2026-06-21 18:00:00,57.92,2.61,80.53
M001,2026-06-22 00:00:00,62.12,2.97,85.91
M001,2026-06-22 06:00:00,62.95,2.91,80.55
M001,2026-06-22 12:00:00,64.46,2.9,82.36
M001,2026-06-22 18:00:00,65.74,2.81,79.29
M001,2026-06-23 00:00:00,63.03,3.08,81.6
M001,2026-06-23 06:00:00,64.25,2.54,77.5
M001,2026-06-23 12:00:00,61.04,2.36,80.43
M001,2026-06-23 18:00:00,61.27,3.11,76.23
M001,2026-06-24 00:00:00,65.26,2.45,76.38
M001,2026-06-24 06:00:00,60.5,3.33,79.97
M001,2026-06-24 12:00:00,63.21,2.69,79.82
M001,2026-06-24 18:00:00,61.14,2.76,81.58
M001,2026-06-25 00:00:00,65.52,2.19,84.92
M001,2026-06-25 06:00:00,63.22,2.64,78.44
M001,2026-06-25 12:00:00,64.25,2.82,75.48
M001,2026-06-25 18:00:00,62.89,3.09,82.66
M001,2026-06-26 00:00:00,60.92,2.35,79.1
M001,2026-06-26 06:00:00,68.69,2.29,77.55
M001,2026-06-26 12:00:00,62.96,2.71,79.48
M001,2026-06-26 18:00:00,66.23,2.49,80.03
M001,2026-06-27 00:00:00,62.6,2.51,75.75
M001,2026-06-27 06:00:00,62.73,3.3,81.28
M001,2026-06-27 12:00:00,62.37,2.78,79.3
M001,2026-06-27 18:00:00,64.56,2.6,76.0
M001,2026-06-28 00:00:00,59.04,2.78,83.24
M001,2026-06-28 06:00:00,62.68,2.66,81.44
M001,2026-06-28 12:00:00,62.58,3.0,84.04
M001,2026-06-28 18:00:00,60.3,2.05,79.01
M001,2026-06-29 00:00:00,60.18,3.01,77.88
M001,2026-06-29 06:00:00,58.47,2.59,75.58
M001,2026-06-29 12:00:00,65.4,2.9,82.0
M001,2026-06-29 18:00:00,63.3,3.01,83.46
M001,2026-06-30 00:00:00,61.16,2.34,77.51
M001,2026-06-30 06:00:00,62.15,1.99,83.48
M001,2026-06-30 12:00:00,58.44,2.94,79.54
M001,2026-06-30 18:00:00,62.81,2.62,80.7
M001,2026-07-01 00:00:00,61.31,2.6,77.35
M001,2026-07-01 06:00:00,65.3,2.88,80.67
M001,2026-07-01 12:00:00,60.5,2.7,77.08
M001,2026-07-01 18:00:00,61.27,2.4,84.81
M001,2026-07-02 00:00:00,60.75,2.51,76.06
M001,2026-07-02 06:00:00,60.73,2.62,79.88
M001,2026-07-02 12:00:00,60.98,2.29,75.49
M001,2026-07-02 18:00:00,63.63,2.73,81.98
M001,2026-07-03 00:00:00,63.84,2.82,76.33
M001,2026-07-03 06:00:00,62.66,3.19,78.68
M001,2026-07-03 12:00:00,62.96,2.77,84.14
M001,2026-07-03 18:00:00,60.93,3.12,78.9
M001,2026-07-04 00:00:00,60.91,2.81,81.05
M001,2026-07-04 06:00:00,66.12,2.87,80.6
M001,2026-07-04 12:00:00,65.49,2.96,78.08
M001,2026-07-04 18:00:00,65.01,2.55,78.07
M001,2026-07-05 00:00:00,60.62,2.5,81.01
M001,2026-07-05 06:00:00,61.8,1.73,79.21
M001,2026-07-05 12:00:00,61.28,3.05,78.32
M001,2026-07-05 18:00:00,67.39,3.2,78.84
M001,2026-07-06 00:00:00,64.63,2.94,80.7
M001,2026-07-06 06:00:00,63.93,2.8,80.72
M001,2026-07-06 12:00:00,63.97,3.4,80.76
M001,2026-07-06 18:00:00,61.42,2.17,85.89
M001,2026-07-07 00:00:00,61.82,2.94,85.71
M001,2026-07-07 06:00:00,62.8,2.73,84.25
M001,2026-07-07 12:00:00,63.26,2.96,75.43
M001,2026-07-07 18:00:00,64.75,2.9,75.88
M001,2026-07-08 00:00:00,63.33,2.17,87.01
M001,2026-07-08 06:00:00,60.15,3.27,77.55
M001,2026-07-08 12:00:00,63.48,2.51,82.98
M001,2026-07-08 18:00:00,61.89,2.93,80.03
M001,2026-07-09 00:00:00,59.64,2.94,78.47
M001,2026-07-09 06:00:00,64.46,2.72,79.75
M001,2026-07-09 12:00:00,65.74,3.5,82.34
M001,2026-07-09 18:00:00,61.8,2.68,77.52
M001,2026-07-10 00:00:00,61.14,2.71,85.87
M001,2026-07-10 06:00:00,61.99,2.42,80.1
M001,2026-07-10 12:00:00,62.74,2.8,82.37
M001,2026-07-10 18:00:00,62.53,3.02,77.63
M001,2026-07-11 00:00:00,65.96,2.87,81.17
M001,2026-07-11 06:00:00,60.83,2.94,81.92
M001,2026-07-11 12:00:00,60.06,2.3,80.85
M001,2026-07-11 18:00:00,61.43,2.87,76.09
M001,2026-07-12 00:00:00,59.3,2.86,78.91
M001,2026-07-12 06:00:00,58.2,3.2,76.03
M001,2026-07-12 12:00:00,67.56,2.61,81.16
M001,2026-07-12 18:00:00,65.71,3.24,85.92
M001,2026-07-13 00:00:00,59.39,2.46,80.63
M001,2026-07-13 06:00:00,64.11,2.8,75.04
M001,2026-07-13 12:00:00,63.43,2.74,79.33
M001,2026-07-13 18:00:00,57.88,3.04,80.39
M001,2026-07-14 00:00:00,66.04,2.78,81.64
M001,2026-07-14 06:00:00,64.11,2.28,87.79
M001,2026-07-14 12:00:00,61.59,2.95,81.86
M001,2026-07-14 18:00:00,60.82,3.36,80.74
M001,2026-07-15 00:00:00,62.04,2.85,82.23
M001,2026-07-15 06:00:00,62.48,3.07,74.88
M001,2026-07-15 12:00:00,60.97,2.17,85.93
M001,2026-07-15 18:00:00,66.43,3.0,76.9
M001,2026-07-16 00:00:00,67.26,2.63,79.29
M001,2026-07-16 06:00:00,62.8,2.95,81.86
M001,2026-07-16 12:00:00,63.85,2.77,81.93
M001,2026-07-16 18:00:00,62.1,2.98,81.42
M001,2026-07-17 00:00:00,64.02,3.01,78.59
M001,2026-07-17 06:00:00,63.41,3.01,76.05
M001,2026-07-17 12:00:00,61.94,3.0,85.05
M001,2026-07-17 18:00:00,64.14,3.35,78.73
M001,2026-07-18 00:00:00,63.01,3.06,72.93
M001,2026-07-18 06:00:00,65.53,2.26,82.9
M001,2026-07-18 12:00:00,63.88,2.11,73.05
M001,2026-07-18 18:00:00,65.37,3.18,77.27
M001,2026-07-19 00:00:00,60.76,2.97,79.87
M001,2026-07-19 06:00:00,64.63,2.96,84.65
M001,2026-07-19 12:00:00,64.46,3.04,78.85
M001,2026-07-19 18:00:00,61.67,2.8,85.43
M001,2026-07-20 00:00:00,61.73,2.9,73.16
M001,2026-07-20 06:00:00,63.89,3.5,77.1
M001,2026-07-20 12:00:00,68.89,2.88,72.18
M001,2026-07-20 18:00:00,61.77,3.22,85.9
M001,2026-07-21 00:00:00,63.99,3.3,76.36
M001,2026-07-21 06:00:00,61.19,2.32,78.08
M001,2026-07-21 12:00:00,64.08,2.89,82.49
M001,2026-07-21 18:00:00,60.68,2.56,80.5
M001,2026-07-22 00:00:00,61.36,3.22,78.0
M001,2026-07-22 06:00:00,61.58,2.95,78.71
M001,2026-07-22 12:00:00,60.1,2.5,81.5
M001,2026-07-22 18:00:00,59.85,3.25,77.81
M001,2026-07-23 00:00:00,63.82,2.64,77.13
M001,2026-07-23 06:00:00,63.08,3.15,79.13
M001,2026-07-23 12:00:00,62.45,3.07,82.4
M001,2026-07-23 18:00:00,62.51,2.7,80.12
M001,2026-07-24 00:00:00,62.22,2.93,76.28
M001,2026-07-24 06:00:00,63.15,2.62,82.59
M001,2026-07-24 12:00:00,61.25,2.64,81.2
M001,2026-07-24 18:00:00,62.63,3.52,74.98
M001,2026-07-25 00:00:00,62.83,3.18,78.13
M001,2026-07-25 06:00:00,60.79,2.58,75.02
M001,2026-07-25 12:00:00,65.31,2.74,78.52
M001,2026-07-25 18:00:00,58.36,2.41,84.26
M001,2026-07-26 00:00:00,63.23,3.19,82.97
M001,2026-07-26 06:00:00,60.63,3.57,85.7
M001,2026-07-26 12:00:00,61.5,1.77,78.78
M001,2026-07-26 18:00:00,63.1,2.67,79.19
M001,2026-07-27 00:00:00,60.99,3.12,80.04
M001,2026-07-27 06:00:00,64.55,3.21,73.32
M001,2026-07-27 12:00:00,61.1,2.66,87.56
M001,2026-07-27 18:00:00,62.94,3.09,74.2
M001,2026-07-28 00:00:00,62.94,3.14,82.42
M001,2026-07-28 06:00:00,63.9,2.85,80.02
M001,2026-07-28 12:00:00,59.27,2.58,80.53
M001,2026-07-28 18:00:00,61.23,3.05,81.24
M001,2026-07-29 00:00:00,65.41,3.14,80.51
M001,2026-07-29 06:00:00,64.17,3.15,78.31
M001,2026-07-29 12:00:00,62.01,2.82,78.4
M001,2026-07-29 18:00:00,64.7,2.66,83.59
M001,2026-07-30 00:00:00,61.95,2.99,80.32
M001,2026-07-30 06:00:00,60.74,2.85,80.82
M001,2026-07-30 12:00:00,62.56,2.45,84.93
M001,2026-07-30 18:00:00,62.86,2.61,84.69
M002,2026-06-01 00:00:00,59.39,3.31,88.8
M002,2026-06-01 06:00:00,59.8,2.97,92.51
M002,2026-06-01 12:00:00,56.88,2.76,93.87
M002,2026-06-01 18:00:00,57.14,2.7,85.71
M002,2026-06-02 00:00:00,55.38,3.22,88.13
M002,2026-06-02 06:00:00,61.79,3.33,89.2
M002,2026-06-02 12:00:00,60.0,2.82,82.86
M002,2026-06-02 18:00:00,55.22,3.01,87.76
M002,2026-06-03 00:00:00,58.86,2.94,90.66
M002,2026-06-03 06:00:00,60.21,2.94,90.08
M002,2026-06-03 12:00:00,53.7,2.94,84.72
M002,2026-06-03 18:00:00,57.5,3.04,89.12
M002,2026-06-04 00:00:00,56.26,3.67,84.61
M002,2026-06-04 06:00:00,54.57,3.47,86.3
M002,2026-06-04 12:00:00,55.34,3.67,91.37
M002,2026-06-04 18:00:00,56.04,3.04,94.25
M002,2026-06-05 00:00:00,58.62,3.37,90.82
M002,2026-06-05 06:00:00,59.1,2.99,88.44
M002,2026-06-05 12:00:00,57.77,3.2,87.55
M002,2026-06-05 18:00:00,57.48,2.89,88.75
M002,2026-06-06 00:00:00,54.75,3.76,86.2
M002,2026-06-06 06:00:00,56.53,2.74,90.24
M002,2026-06-06 12:00:00,56.86,2.69,90.37
M002,2026-06-06 18:00:00,58.84,2.96,86.41
M002,2026-06-07 00:00:00,61.65,3.09,84.57
M002,2026-06-07 06:00:00,60.1,2.73,96.61
M002,2026-06-07 12:00:00,57.43,3.29,82.15
M002,2026-06-07 18:00:00,54.7,3.39,89.34
M002,2026-06-08 00:00:00,61.37,3.13,88.82
M002,2026-06-08 06:00:00,60.71,3.29,87.79
M002,2026-06-08 12:00:00,55.1,2.28,87.07
M002,2026-06-08 18:00:00,54.91,3.77,86.43
M002,2026-06-09 00:00:00,55.94,2.54,87.58
M002,2026-06-09 06:00:00,55.97,3.51,88.88
M002,2026-06-09 12:00:00,57.28,2.95,90.73
M002,2026-06-09 18:00:00,56.4,3.19,93.22
M002,2026-06-10 00:00:00,58.24,2.92,85.51
M002,2026-06-10 06:00:00,56.76,3.16,83.77
M002,2026-06-10 12:00:00,58.98,3.06,87.92
M002,2026-06-10 18:00:00,56.0,2.85,90.16
M002,2026-06-11 00:00:00,57.07,2.85,89.76
M002,2026-06-11 06:00:00,58.35,2.62,90.07
M002,2026-06-11 12:00:00,62.33,3.14,83.26
M002,2026-06-11 18:00:00,57.68,2.45,97.86
M002,2026-06-12 00:00:00,61.82,2.8,81.61
M002,2026-06-12 06:00:00,55.59,2.95,83.07
M002,2026-06-12 12:00:00,57.21,2.94,88.73
M002,2026-06-12 18:00:00,57.8,2.71,85.79
M002,2026-06-13 00:00:00,57.45,2.81,91.07
M002,2026-06-13 06:00:00,57.43,3.56,90.81
M002,2026-06-13 12:00:00,59.57,3.04,88.82
M002,2026-06-13 18:00:00,60.82,2.89,89.98
M002,2026-06-14 00:00:00,56.84,2.93,84.83
M002,2026-06-14 06:00:00,55.89,2.73,90.12
M002,2026-06-14 12:00:00,59.46,2.98,89.03
M002,2026-06-14 18:00:00,57.07,2.76,90.92
M002,2026-06-15 00:00:00,58.7,2.44,87.48
M002,2026-06-15 06:00:00,55.63,2.89,86.32
M002,2026-06-15 12:00:00,57.3,2.91,87.28
M002,2026-06-15 18:00:00,59.61,3.18,86.22
M002,2026-06-16 00:00:00,56.29,3.16,89.79
M002,2026-06-16 06:00:00,56.2,2.94,93.86
M002,2026-06-16 12:00:00,56.23,3.59,91.63
M002,2026-06-16 18:00:00,60.86,2.82,87.82
M002,2026-06-17 00:00:00,56.52,3.35,86.61
M002,2026-06-17 06:00:00,58.88,3.22,88.17
M002,2026-06-17 12:00:00,60.02,3.05,90.82
M002,2026-06-17 18:00:00,56.43,2.8,90.51
M002,2026-06-18 00:00:00,58.3,3.09,87.28
M002,2026-06-18 06:00:00,60.53,2.68,84.79
M002,2026-06-18 12:00:00,59.32,3.28,89.37
M002,2026-06-18 18:00:00,56.86,3.17,93.47
M002,2026-06-19 00:00:00,62.48,2.52,87.04
M002,2026-06-19 06:00:00,56.49,3.51,80.86
M002,2026-06-19 12:00:00,58.48,2.94,93.21
M002,2026-06-19 18:00:00,60.45,3.13,83.56
M002,2026-06-20 00:00:00,56.32,2.89,84.31
M002,2026-06-20 06:00:00,59.77,2.59,94.19
M002,2026-06-20 12:00:00,61.39,2.91,89.28
M002,2026-06-20 18:00:00,57.32,3.3,92.12
M002,2026-06-21 00:00:00,58.0,3.17,86.42
M002,2026-06-21 06:00:00,58.35,3.08,85.55
M002,2026-06-21 12:00:00,57.45,2.91,86.46
M002,2026-06-21 18:00:00,55.19,3.05,85.94
M002,2026-06-22 00:00:00,56.55,3.35,90.17
M002,2026-06-22 06:00:00,55.54,3.14,88.67
M002,2026-06-22 12:00:00,60.9,3.45,83.68
M002,2026-06-22 18:00:00,59.22,3.41,89.95
M002,2026-06-23 00:00:00,56.84,3.76,90.22
M002,2026-06-23 06:00:00,61.46,3.44,89.66
M002,2026-06-23 12:00:00,56.35,3.03,87.6
M002,2026-06-23 18:00:00,55.08,3.23,92.97
M002,2026-06-24 00:00:00,56.93,3.69,83.59
M002,2026-06-24 06:00:00,59.63,3.54,87.65
M002,2026-06-24 12:00:00,57.15,3.35,89.78
M002,2026-06-24 18:00:00,53.53,2.78,88.22
M002,2026-06-25 00:00:00,54.8,2.9,84.22
M002,2026-06-25 06:00:00,56.8,2.94,89.31
M002,2026-06-25 12:00:00,57.36,3.19,89.4
M002,2026-06-25 18:00:00,59.6,3.3,90.56
M002,2026-06-26 00:00:00,63.76,3.15,96.03
M002,2026-06-26 06:00:00,58.38,3.02,87.13
M002,2026-06-26 12:00:00,60.57,3.53,90.05
M002,2026-06-26 18:00:00,59.82,2.66,83.6
M002,2026-06-27 00:00:00,60.06,3.01,90.49
M002,2026-06-27 06:00:00,56.14,3.54,83.62
M002,2026-06-27 12:00:00,54.8,3.48,80.41
M002,2026-06-27 18:00:00,58.33,3.01,86.03
M002,2026-06-28 00:00:00,57.19,2.79,92.86
M002,2026-06-28 06:00:00,61.19,2.84,89.06
M002,2026-06-28 12:00:00,54.94,3.37,91.37
M002,2026-06-28 18:00:00,56.99,3.05,87.95
M002,2026-06-29 00:00:00,54.36,3.52,85.92
M002,2026-06-29 06:00:00,56.08,3.01,91.21
M002,2026-06-29 12:00:00,56.42,2.47,85.56
M002,2026-06-29 18:00:00,58.45,3.71,84.44
M002,2026-06-30 00:00:00,55.02,2.6,83.31
M002,2026-06-30 06:00:00,60.03,3.5,88.75
M002,2026-06-30 12:00:00,56.68,3.59,88.74
M002,2026-06-30 18:00:00,59.79,2.9,88.35
M002,2026-07-01 00:00:00,55.16,3.25,88.78
M002,2026-07-01 06:00:00,55.84,2.79,93.06
M002,2026-07-01 12:00:00,61.57,2.99,88.41
M002,2026-07-01 18:00:00,58.43,3.1,83.19
M002,2026-07-02 00:00:00,58.5,2.43,86.0
M002,2026-07-02 06:00:00,58.66,3.24,85.77
M002,2026-07-02 12:00:00,56.73,2.88,87.89
M002,2026-07-02 18:00:00,57.59,3.26,86.65
M002,2026-07-03 00:00:00,58.41,3.22,88.79
M002,2026-07-03 06:00:00,57.14,3.12,90.45
M002,2026-07-03 12:00:00,59.34,3.61,85.22
M002,2026-07-03 18:00:00,56.78,2.58,90.99
M002,2026-07-04 00:00:00,57.01,3.13,86.37
M002,2026-07-04 06:00:00,57.02,3.43,90.27
M002,2026-07-04 12:00:00,57.45,3.3,90.56
M002,2026-07-04 18:00:00,56.89,2.63,85.49
M002,2026-07-05 00:00:00,55.01,3.42,92.19
M002,2026-07-05 06:00:00,60.86,2.46,91.39
M002,2026-07-05 12:00:00,62.11,3.4,81.73
M002,2026-07-05 18:00:00,61.23,3.08,87.48
M002,2026-07-06 00:00:00,58.61,2.76,88.18
M002,2026-07-06 06:00:00,60.95,3.26,88.35
M002,2026-07-06 12:00:00,57.88,2.72,87.72
M002,2026-07-06 18:00:00,54.44,3.38,81.61
M002,2026-07-07 00:00:00,59.43,3.37,92.12
M002,2026-07-07 06:00:00,57.89,3.35,87.68
M002,2026-07-07 12:00:00,55.35,3.53,87.87
M002,2026-07-07 18:00:00,54.9,2.94,86.88
M002,2026-07-08 00:00:00,58.66,3.78,89.72
M002,2026-07-08 06:00:00,58.15,3.82,91.09
M002,2026-07-08 12:00:00,58.24,2.93,89.11
M002,2026-07-08 18:00:00,57.6,3.11,92.1
M002,2026-07-09 00:00:00,56.67,3.24,91.0
M002,2026-07-09 06:00:00,56.43,2.83,87.7
M002,2026-07-09 12:00:00,56.83,3.43,85.14
M002,2026-07-09 18:00:00,57.89,3.85,89.39
M002,2026-07-10 00:00:00,58.92,3.43,86.75
M002,2026-07-10 06:00:00,55.6,3.14,88.94
M002,2026-07-10 12:00:00,54.53,3.2,91.35
M002,2026-07-10 18:00:00,55.94,3.22,90.82
M002,2026-07-11 00:00:00,58.95,3.29,87.4
M002,2026-07-11 06:00:00,55.53,2.95,86.38
M002,2026-07-11 12:00:00,57.62,3.42,84.2
M002,2026-07-11 18:00:00,58.07,2.77,85.91
M002,2026-07-12 00:00:00,58.91,2.73,90.33
M002,2026-07-12 06:00:00,55.09,3.29,83.48
M002,2026-07-12 12:00:00,56.56,3.66,93.25
M002,2026-07-12 18:00:00,56.97,3.21,91.74
M002,2026-07-13 00:00:00,59.17,3.01,85.87
M002,2026-07-13 06:00:00,59.55,3.43,93.27
M002,2026-07-13 12:00:00,54.44,2.72,91.6
M002,2026-07-13 18:00:00,54.71,3.47,87.47
M002,2026-07-14 00:00:00,56.78,3.16,84.08
M002,2026-07-14 06:00:00,59.47,3.6,90.72
M002,2026-07-14 12:00:00,57.33,2.64,83.61
M002,2026-07-14 18:00:00,55.17,3.09,88.45
M002,2026-07-15 00:00:00,59.58,2.56,92.04
M002,2026-07-15 06:00:00,59.23,3.0,84.53
M002,2026-07-15 12:00:00,60.34,3.01,88.04
M002,2026-07-15 18:00:00,58.61,2.83,87.26
M002,2026-07-16 00:00:00,59.59,3.33,90.42
M002,2026-07-16 06:00:00,55.54,3.03,86.91
M002,2026-07-16 12:00:00,58.71,3.2,88.56
M002,2026-07-16 18:00:00,62.79,3.02,86.87
M002,2026-07-17 00:00:00,55.56,2.64,84.43
M002,2026-07-17 06:00:00,56.43,3.5,88.21
M002,2026-07-17 12:00:00,58.26,3.08,89.18
M002,2026-07-17 18:00:00,60.67,2.51,91.74
M002,2026-07-18 00:00:00,52.86,3.12,94.66
M002,2026-07-18 06:00:00,59.25,3.22,94.09
M002,2026-07-18 12:00:00,56.48,3.24,89.82
M002,2026-07-18 18:00:00,56.84,2.98,86.45
M002,2026-07-19 00:00:00,58.07,3.28,88.44
M002,2026-07-19 06:00:00,59.32,2.52,87.42
M002,2026-07-19 12:00:00,55.85,3.2,88.93
M002,2026-07-19 18:00:00,57.67,3.26,91.07
M002,2026-07-20 00:00:00,57.79,2.8,83.32
M002,2026-07-20 06:00:00,57.99,3.19,85.16
M002,2026-07-20 12:00:00,59.37,2.98,83.1
M002,2026-07-20 18:00:00,60.43,3.46,82.02
M002,2026-07-21 00:00:00,56.81,2.94,92.98
M002,2026-07-21 06:00:00,57.73,2.67,90.71
M002,2026-07-21 12:00:00,55.47,3.04,85.75
M002,2026-07-21 18:00:00,56.81,3.4,92.62
M002,2026-07-22 00:00:00,55.4,3.31,85.85
M002,2026-07-22 06:00:00,56.54,3.27,84.97
M002,2026-07-22 12:00:00,58.89,3.34,86.75
M002,2026-07-22 18:00:00,60.6,2.74,92.09
M002,2026-07-23 00:00:00,54.07,3.93,86.83
M002,2026-07-23 06:00:00,55.64,3.05,84.9
M002,2026-07-23 12:00:00,58.73,3.53,85.06
M002,2026-07-23 18:00:00,59.12,2.66,91.14
M002,2026-07-24 00:00:00,58.81,3.45,87.67
M002,2026-07-24 06:00:00,57.1,3.37,84.11
M002,2026-07-24 12:00:00,54.49,3.13,86.87
M002,2026-07-24 18:00:00,59.08,3.45,89.64
M002,2026-07-25 00:00:00,60.01,3.23,89.51
M002,2026-07-25 06:00:00,57.76,3.27,88.53
M002,2026-07-25 12:00:00,58.64,3.08,90.46
M002,2026-07-25 18:00:00,56.57,3.12,91.96
M002,2026-07-26 00:00:00,56.11,2.48,89.12
M002,2026-07-26 06:00:00,57.49,3.44,87.63
M002,2026-07-26 12:00:00,56.8,3.11,91.3
M002,2026-07-26 18:00:00,59.16,2.4,88.58
M002,2026-07-27 00:00:00,58.49,3.13,86.18
M002,2026-07-27 06:00:00,60.41,3.51,81.4
M002,2026-07-27 12:00:00,56.42,3.09,90.86
M002,2026-07-27 18:00:00,58.09,2.93,90.14
M002,2026-07-28 00:00:00,57.61,3.1,87.93
M002,2026-07-28 06:00:00,59.18,3.05,90.07
M002,2026-07-28 12:00:00,57.89,2.82,87.9
M002,2026-07-28 18:00:00,56.0,3.15,90.5
M002,2026-07-29 00:00:00,55.9,3.25,85.51
M002,2026-07-29 06:00:00,58.45,3.4,81.61
M002,2026-07-29 12:00:00,55.82,3.03,88.94
M002,2026-07-29 18:00:00,57.72,3.13,94.13
M002,2026-07-30 00:00:00,55.64,3.49,86.94
M002,2026-07-30 06:00:00,59.16,3.78,90.06
M002,2026-07-30 12:00:00,58.81,3.62,91.37
M002,2026-07-30 18:00:00,56.47,3.23,82.84
M003,2026-06-01 00:00:00,59.89,2.15,90.78
M003,2026-06-01 06:00:00,58.73,2.4,96.26
M003,2026-06-01 12:00:00,60.56,2.24,96.71
M003,2026-06-01 18:00:00,62.69,1.8,93.01
M003,2026-06-02 00:00:00,64.98,2.25,95.3
M003,2026-06-02 06:00:00,63.01,1.91,91.82
M003,2026-06-02 12:00:00,63.0,2.42,96.98
M003,2026-06-02 18:00:00,60.61,2.3,97.24
M003,2026-06-03 00:00:00,60.4,2.63,98.58
M003,2026-06-03 06:00:00,67.62,2.25,94.37
M003,2026-06-03 12:00:00,64.02,2.42,97.04
M003,2026-06-03 18:00:00,63.94,2.15,97.33
M003,2026-06-04 00:00:00,60.27,2.19,98.33
M003,2026-06-04 06:00:00,59.91,1.99,95.65
M003,2026-06-04 12:00:00,63.2,1.93,92.39
M003,2026-06-04 18:00:00,60.05,2.48,92.87
M003,2026-06-05 00:00:00,66.04,2.22,92.96
